Component,Phase,a,b,c,d,∆Hf298,∆Gf298,Pc,Tc,omega,Tmax,initial,C,H,O,N
Methane,g,1.702,0.009081,-0.000002164,0,-74520,-50460,45.99,190.6,0.012,1500,1,1,4,0,0
Water,g,3.47,0.00145,0,12100,-241818,-228572,220.55,647.1,0.345,1500,1,0,2,1,0
CarbonMonoxide,g,3.376,0.000557,0,-3100,-110525,-137169,34.99,132.9,0.048,1500,0,1,0,1,0
CarbonDioxide,g,5.457,0.001045,0,-115700,-393509,-394359,73.83,304.2,0.224,1500,0,1,0,2,0
Hydrogen,g,3.249,0.000422,0,8300,0,0,13.13,33.19,-0.216,1500,0,0,2,0,0
C,s,1.771,0.000771,0,-86700,0,0,0,0,0,2000,0,1,0,0,0
CH4O,g,2.211,0.012216,-0.00000345,0,-200660,-161960,80.97,512.6,0.564,1500,0,1,4,1,0
C2H6,g,1.131,19.225e-3,-5.561e-6,0,-83820,-31855,48.72,305.3,0.100,1500,0,2,6,0,0
C3H8,g,1.213,28.785e-3,-8.824e-6,0,-104680,-24290,42.48,369.8,0.152,1500,0,3,8,0,0
C4H10,g,1.935,36.915e-3,-11.402e-6,0,-125790,-16570,37.96,425.1,0.200,1500,0,4,10,0,0
N2,g,3.280,0.593e-3,0,0.040e5,0,0,34.00,126.2,0.038,1500,0,0,0,0,2
NH3,g,3.578,3.020e-3,0,-0.186e5,-46110,-16400,112.80,405.7,0.253,1500,0,0,3,0,1
Biomass,g,0,0,0,0,0,0,75,850,0.513,1500,0,1,1.8655,0.5893,0.1275
